"E.coli.ref.BAC",562
"E.coli.ref.A",562
"E.coli.ref.EUK",562
"Aqu.aeolicus",63363
"Aqu.pyroph",2714
"Cld.hgenph",35835
"Hdg.acidp",34092
"Hdg.thphi2",940
"Hdg.thphil",940
"Bac.cellul",35825
"Bac.distas",823
"Bac.eggert",28111
"Bac.fsyth2",28112
"Bac.fsyths",28112
"Bac.fragi2",817
"Bac.fragil",817
"Bac.ovatus",28116
"Bac.putred",28117
"Bac.splanc",28118
"Bac.theta2",818
"Bac.thetai",818
"Bac.unifor",820
"Bac.vulgat",821
"Ml.agarovo",60555
"Ppm.asacch",28123
"Ppm.cangin",36874
"Ppm.canors",36875
"Ppm.cansul",36876
"Ppm.catoni",41976
"Ppm.cirden",29524
"Ppm.endodo",28124
"Ppm.gingi2",837
"Ppm.gingiv",837
"Ppm.levii",28114
"Ppm.salvos",28115
"Ppm.macaca",28115
"Prv.bivia",28125
"Prv.buccae",28126
"Prv.bucca2",28126
"Prv.buccls",28127
"Prv.corpor",28128
"Prv.dental",52227
"Prv.dentic",28129
"Prv.denti2",28129
"Prv.disien",28130
"Prv.heplyt",28113
"Prv.inter2",28131
"Prv.interm",28131
"Prv.loesch",840
"Prv.melani",28132
"Prv.melan2",28132
"Prv.nigre2",28133
"Prv.nigre3",28133
"Prv.nigres",28133
"Prv.oralis",28134
"Prv.oris",28135
"Prv.oulora",28136
"Prv.rumcol",839
"Prv.verora",28137
"Prv.zoofor",28119
"Rik.mifusu",28139
"Cy.ferment",982
"Cy.hutchin",985
"Cy.latercu",987
"Cy.marinof",988
"Ps.difflue",981
"Blt.sp5",34099
"Blt.sp7",34099
"Blt.sp4",34099
"Blt.sp2",34099
"Blt.sp3",34099
"Blt.sp6",34099
"Blt.sp1",34099
"Brg.zoohel",1015
"Cap.canimo",28188
"Cap.cynode",28189
"Cap.gingi2",1017
"Cap.gingi3",1017
"Cap.gingiv",1017
"Cap.granul",45242
"Cap.granu2",45242
"Cap.haemol",45243
"Cap.ochra4",1018
"Cap.ochra5",1018
"Cap.ochra6",1018
"Cap.ochra3",1018
"Cap.ochra2",1018
"Cap.ochrac",1018
"Cap.spS1b",44737
"Cap.spS1",44737
"Cap.spFDC8",44737
"Cap.spS3",44737
"Cap.sputi3",1019
"Cap.sputi2",1019
"Cel.lytica",979
"Csb.balust",246
"Csb.gleum",250
"Csb.indlog",253
"Csb.indthe",254
"Emb.brevi2",247
"F.aquatile",245
"F.columna2",996
"F.ferrugin",249
"F.flevense",983
"F.hibernum",37752
"F.hydatis",991
"F.johnsoni",986
"Flx.aurant",986
"F.johnson2",986
"F.mizutaii",1010
"Orn.rhinot",28251
"Pol.franzm",37453
"Pol.glomer",102
"Ant.vesicu",531
"P.gondwane",251
"F.salegens",143223
"Hrn.marit2",107401
"Wee.virosa",1014
"Fl.uligino",143224
"My.odoratus.1",256
"Cyb.marinu",104
"Flc.major",103
"Flx.aggre1",993
"Flx.aggreg",993
"Flx.ele.NZ",997
"Flx.filfor",104663
"Flx.flexil",998
"Flx.litora",999
"Flx.polymo",1001
"Flx.roseol",1002
"Flx.ruber",1003
"Flx.sancti",1004
"Flx.tractu",1006
"Msc.arenar",1025
"Msc.furves",1026
"Msc.marina",1027
"Msc.serice",1028
"Run.slithy",106
"Sps.lingua",108
"Spc.caulif",1012
"Rht.obamae",29549
"Rht.marin2",29549
"Rht.marinu",29549
"Tnm.lapsum",28195
"Hal.hydros",2350
"Sap.grandi",1008
"Ped.heparn",984
"Sph.sprvo2",258
"Sph.thalpo",259
"Flx.canada",995
"Chl.limic2",1092
"Chl.limico",1092
"Chl.phbact",1096
"Chl.phvibr",1094
"Chl.tepidu",1097
"Chl.vibri2",1098
"Chl.vibrio",1098
"Clt.sulfur",1104
"Pld.clathr",34089
"Pld.luteol",1100
"Pld.phclth",34090
"Clm.muridarum.GEN",83560
"Clm.muridarum.1",83560
"Clm.suis",83559
"Clm.tracho.GEN.1",813
"Clm.tracho.GEN.2",813
"Clm.tracho",813
"Cld.abortus",83555
"Cld.caviae",83557
"Cld.felis",83556
"Cld.pecorum",85991
"Clm.pneum4",83558
"Clm.pneum3",83558
"Clm.pneumo",83558
"Cld.pneumonia.GEN.2",115711
"Cld.pneumonia.GEN.1",83558
"Clm.pneumoniae.J138",138677
"Cld.pneumoniae",83558
"Cld.psitt2",83554
"Cld.psitt3",83554
"Cld.psitta",83554
"Cld.psittaci",83554
"Par.acanthamoebae",83552
"Sim.negeve",83561
"Wla.chondrophila",71667
"Ctm.prtlyt",35786
"Glth.memb2",44473
"Mcs.aerug3",1126
"Mcs.aerug4",1126
"Mcs.aerug5",1126
"Mcs.aerug7",1126
"Mcs.aeruginosa",1126
"Mcs.aerug6",1126
"Mcs.elaben",44824
"Mcs.holsat",44825
"Mcs.sp139",1127
"Mcs.viridi",44822
"Mcs.wesnb2",44823
"Mcs.wesnbr",44823
"Syn.6301",1131
"Sncy.PCC6803.gen",1148
"Nost.muscr",1179
"Spli.sp2",1157
"Llb.boryan",1184
"Llb.foveol",47253
"Lyn.PCC7419",65095
"Mccl.7420",44472
"Osc.agardh",1160
"Osc.corall",47255
"Osc.willam",56109
"Phrm.minut",1200
"Trd.sp1067",1207
"Plrc.7516",44475
"Prcl.didem",1216
"Clrg.spHTF",28069
"Dgl.spRt46",28205
"Dgl.thmop2",14
"Dgl.thmoph",14
"Acbt.capsl",33075
"Gt.ferment",44676
"Hp.foetida",35839
"Fib.intC1a",28122
"Fib.intDR7",28122
"Fib.intLH1",28122
"Fib.intJG1",28122
"Fib.intNR9",28122
"Fib.sp2",35828
"Fib.sp1",35828
"Fib.sucMB4",833
"Fib.sucA3C",833
"Fib.sucMM4",833
"Fib.succB1",833
"Fib.sucMC1",833
"Fib.sucGC5",833
"Fib.sucHM2",833
"Fib.sucBL2",833
"Fib.sucS85",833
"Act.suis",1657
"Act.bovis",1658
"Act.bovis2",1658
"Act.dentic",52767
"Act.georgi",52768
"Act.geren3",52769
"Act.hordvl",52770
"Act.howell",52771
"Act.hyovag",29316
"Act.israel",1659
"Act.israe5",1659
"Act.meyeri",52773
"Act.naesl2",1655
"Act.naeslu",1655
"Act.naesl3",1655
"Act.neuii2",33007
"Act.neuii3",33007
"Act.odont3",1660
"Act.odonto",1660
"Act.odont2",1660
"Act.APL11",29317
"Act.radnga",131110
"Act.turcns",131111
"Act.visco2",1656
"Act.viscos",1656
"Act.visco3",1656
"Act.bernrd",59561
"Abc.haemol",28264
"Act.pyoge3",1661
"Act.pyogen",1661
"Abc.phocae",131112
